video_id,comment_id,parent_id,author_channel_id,author_display_name,text,like_count,reply_count,published_at,is_reply,niche
AcrY3p4mncw,UgwEfiFY3_EmY6xYENB4AaABAg,,UCru0kYWSvvseg8CttbMAVxw,@soloassaassin671,bro i really like your videos but my crossier is bad please give me your crossier codem your crossier is best please please,0,0,2026-05-05T06:52:26Z,False,valorant
QQYKN5MWFyU,UgxSriYh2Fny8q77TF14AaABAg,,UCGN1hf84bhujRhlHPqjpfHg,@moonbustin,"You like playing with the artisan zero or hien more? I noticed that this video, you're still on the hien, and now you switched to the zero lately (checked your description)",0,0,2022-11-10T13:36:59Z,False,valorant
UKJeCLrLEKg,UgwFpzHNN07BkQX3wnZ4AaABAg,,UCvYPLC3XoDMXwvpvET87odQ,@PotosanGOAT,4:48 HORCUS REFERENCIA NMMS XD,0,0,2026-03-02T18:55:50Z,False,valorant
AcrY3p4mncw,Ugz2EHqCvQyosdskZo14AaABAg,,UCx8OtH6oigaFkJWW0s3e9fw,@Beamgrandyt,15:14 waht are youre colour filters,1,0,2026-03-11T13:52:23Z,False,valorant
IJdbjEi4OvQ,Ugz0352LxcsNWo5G2Jp4AaABAg,,UCpDKbZ8BJKRuF8C4QMnlD-g,@AngelApen,"good video sir, the second crooshair no found",0,0,2026-04-19T20:39:26Z,False,valorant
v2uMRyYZJ3Q,UgyJBjkF5mVi2zcBK614AaABAg,,UCUeFVKsWuwaGcQxFvVc56zA,@etrgxaxaxaxaxaxaxa,"Nice aim, like and subbed",4,3,2025-01-02T06:37:41Z,False,valorant
nCKmGW3vYa8,Ugxga7dtKxd9Xg5qilV4AaABAg.9lQ2kbdIn9V9ljnPsFYJ_w,Ugxga7dtKxd9Xg5qilV4AaABAg,UChQqARlPPhESQC64faHpQ-A,@SleepIsImportant.,@-onixgaming--onixgaming-2170 xD,0,0,2023-02-05T06:10:22Z,True,valorant
8cKnsC2lOcI,UgxSFeHQI9s5LH-KAl54AaABAg.AK9w5LNQdDRAM33hCVCW_p,UgxSFeHQI9s5LH-KAl54AaABAg,UCYYHdB8tTHgPW88lJmwy7_A,@haktann9,@Алексей-б8ы8кcuz i dont have pc ım goin sometimes internet cafe thats why still waiting change the home  after create pc,0,0,2025-08-20T18:27:49Z,True,valorant
v2uMRyYZJ3Q,UgxMvIgskPE7cvw9dkB4AaABAg,,UCCai4RWexUN1zVct9iIITng,@brenin64,Config pc?,0,0,2025-01-04T15:04:37Z,False,valorant
4_fDKEmJx_o,UgxMuhGpOXVFBVF1op14AaABAg,,UC0vw78UhMMrnaI6134z707A,@BeOK.6677,4:18 he gets 7 kills,1,0,2025-09-22T17:17:29Z,False,valorant
